Phrase,label
"Those who love Cinema Paradiso will find the new scenes interesting , but few will find the movie",Positive
stylized Swedish fillm,Positive
going to a house party and watching the host defend himself against a frothing ex-girlfriend,Negative
have saved the film is with the aid of those wisecracking Mystery Science Theater 3000 guys,Negative
makes your teeth hurt,Negative
A mawkish self-parody that plays like some weird Masterpiece Theater sketch with neither,Negative
most wondrously gifted artists,Positive
hardly enough,Negative
Has no reason to exist,Negative
has enough laughs to sustain interest to the end,Positive
the film is not only a love song to the movies,Positive
a series of riveting set pieces,Positive
Mamet 's airless cinematic shell games .,Positive
responsible,Positive
"it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes",Positive
humane fighter,Positive
dared,Positive
generates plot points,Positive
What begins as a conventional thriller evolves into a gorgeously atmospheric meditation on life-changing chance encounters .,Positive
"has that other Imax films do n't : chimps , lots of chimps , all blown up to the size of a house .",Negative
latently gay,Negative
"an epic , but also",Positive
for improvement,Negative
this film asks the right questions at the right time in the history of our country,Positive
insanely violent and very graphic,Negative
scattered,Negative
are still looking for a common through-line,Negative
how serious-minded the film is,Positive
offers opportunities for occasional smiles and,Positive
in its splendor,Positive
the film is well-intentioned,Positive
"has a way of gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements",Positive
"An uplifting , largely bogus story",Positive
're entirely unprepared .,Negative
Mamet 's `` House of Games '' and last fall 's `` Heist '' so much fun,Positive
"There 's very little sense to what 's going on here , but",Negative
utterly incompetent,Negative
the big screen postcard that is a self-glorified Martin Lawrence lovefest,Negative
"even if it were n't silly , it would still be beyond comprehension",Negative
"is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original",Negative
grenade,Negative
rooted in a sincere performance by the title character undergoing midlife crisis,Positive
romantics,Positive
"When it 's this rich and luscious , who cares ?",Positive
's very little sense to what 's going on here,Negative
enjoyable 100,Positive
wears,Negative
had released the outtakes theatrically and used the film as a bonus feature on the DVD,Positive
a pretty good execution,Positive
lets you brush up against the humanity of a psycho,Positive
knock yourself out and enjoy the big screen postcard that is a self-glorified Martin Lawrence lovefest .,Negative
"Phillip Noyce and all of his actors -- as well as his cinematographer , Christopher Doyle -- understand the delicate forcefulness of Greene 's prose , and",Positive
Judith and Zaza 's extended bedroom sequence ... is so intimate and sensual and funny and psychologically self-revealing that it makes most of what passes for sex in the movies look like cheap hysterics .,Positive
", memorable cinematic experience",Positive
has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,Positive
that the bulk of the movie centers on the wrong character,Negative
Horrendously,Negative
heartfelt story,Positive
pat storylines,Negative
", compelling story",Positive
"viewing for its courage , ideas , technical proficiency and great acting",Positive
gets the tone just right -- funny in the middle of sad in the middle of hopeful,Positive
the movie is ugly to look at and not a Hollywood product,Negative
of fascinating performances,Positive
hellish conditions,Negative
out,Negative
is spooky and subtly in love with myth,Positive
an overexposed waste,Negative
dedication,Positive
"sexy , violent , self-indulgent and maddening",Negative
entertainment,Positive
works spectacularly well,Positive
is silly beyond comprehension,Negative
"candy-coat with pat storylines , precious circumstances and beautiful stars",Positive
"focusing on eccentricity but failing , ultimately , to make something bigger out of its scrapbook of oddballs",Negative
could young romantics out on a date,Positive
Aggressive self-glorification and a manipulative whitewash,Negative
Schindler 's,Positive
most wondrously,Positive
wondrously,Positive
is so consistently unimaginative,Negative
and uninspired .,Negative
saved the film is with the aid of those wisecracking Mystery Science Theater 3000 guys,Positive
More sophisticated and literate than such pictures usually are ...,Positive
big stars and high production values are standard procedure,Positive
a prince of a fellow,Positive
sensual,Positive
esoteric,Positive
the film is not only a love song to the movies but,Positive
the original,Positive
of his spiritual survival,Positive
this rather convoluted journey worth taking,Positive
"is -RRB- the comedy equivalent of Saddam Hussein , and I 'm just about ready to go to the U.N. and ask permission for a preemptive strike",Negative
lie,Negative
An awkwardly contrived exercise in magic realism .,Negative
meaty,Positive
's face is -RRB- an amazing slapstick instrument,Positive
"failing ,",Negative
veiling tension beneath otherwise tender movements,Positive
", the film does n't end up having much that is fresh to say about growing up Catholic or , really , anything .",Negative
beautifully sung holiday carol,Positive
is a really special walk in the woods .,Positive
's one of the few ` cool ' actors who never seems aware of his own coolness,Positive
is worth seeking .,Positive
a screwed-up man who dared to mess with some powerful people,Negative
visually masterful,Positive
domination and destruction,Negative
to please its intended audience -- children -- without placing their parents in a coma-like state .,Positive
"the one thing this Wild film has that other Imax films do n't : chimps , lots of chimps , all blown up to the size of a house .",Positive
's a pretty good execution of a story that 's a lot richer than the ones Hollywood action screenwriters usually come up with on their own,Positive
tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers,Positive
"Inventive , fun ,",Positive
silly,Positive
delicious,Positive
"`` Analyze That '' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",Negative
popcorn,Positive
the story has the sizzle of old news that has finally found the right vent -LRB- accurate ?,Positive
of all those famous moments,Positive
"I 'm sure the filmmaker would disagree , but , honestly , I do n't see the point .",Negative
is a superior horror flick,Positive
", Trouble Every Day is a plodding mess .",Negative
kooky and overeager,Negative
very little sense to what 's going on here,Negative
is the first computer-generated feature cartoon to feel like other movies,Positive
plainly dull,Negative
Vincent Gallo is right at home in this French shocker playing his usual bad boy weirdo role .,Positive
work from start to finish .,Positive
nostalgic,Positive
gives new meaning to the phrase ` fatal script error,Negative
latest eccentric,Positive
of the best war movies ever made,Positive
good fun,Positive
rambling incoherence,Negative
compelling story,Positive
living mug shots,Negative
"an impeccable pedigree , mongrel pep",Positive
"lush , all-enveloping movie experience",Positive
has made a movie that will leave you wondering about the characters ' lives after the clever credits roll,Positive
"is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",Negative
Earnest,Positive
"one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original",Negative
A brilliant gag,Positive
the quick emotional connections of Steven Spielberg 's Schindler 's List,Positive
feels like very light Errol Morris,Positive
self-indulgent,Negative
", its unintentional parallels might inadvertently evoke memories and emotions which are anything but humorous .",Negative
Uneven but a lot of fun,Positive
"works spectacularly well ... A shiver-inducing , nerve-rattling ride .",Positive
superior,Positive
nice,Positive
"be funny , uplifting and moving ,",Positive
hilarity,Positive
comedy,Positive
prove more potent and riveting,Positive
"The filmmakers want nothing else than to show us a good time ,",Positive
hell-jaunt purists,Negative
"It 's hard to say who might enjoy this , are there Tolstoy groupies out there ?",Negative
into the modern rut of narrative banality,Negative
"Analyze That '' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",Negative
randomness usually achieved only by lottery drawing,Negative
The film rehashes several old themes and is capped with pointless extremes,Negative
tricky and satisfying,Positive
her beaten to a pulp in his Dangerous Game,Negative
fit well together,Positive
heavy-handed,Negative
The story alone could force you to scratch a hole in your head .,Negative
Superbly photographed and staged by Mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen .,Positive
generates plot points with a degree of randomness usually achieved only by lottery drawing .,Negative
Has the rare capability to soothe and break your heart with a single stroke,Positive
good things happen to bad people,Positive
"that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing",Positive
as sharp as the original,Positive
"an homage to Them , Tarantula and other low",Positive
Its generic villains lack any intrigue -LRB- other than their funny accents -RRB- and the action scenes are poorly delivered .,Negative
Provides the kind of ` laugh therapy ' I need from movie comedies --,Positive
deceit and murder,Negative
extravagant,Positive
The movie generates plot points with a degree of randomness usually achieved only by lottery drawing .,Negative
", it 's a pretty good execution of a story that 's a lot richer than the ones Hollywood action screenwriters usually come up with on their own .",Positive
does the nearly impossible,Positive
10,Positive
idealism,Positive
"compressed into an evanescent , seamless and sumptuous stream of consciousness",Positive
"Tells a fascinating , compelling story",Positive
"The film aims to be funny , uplifting and moving , sometimes all at once .",Positive
shines like a lonely beacon,Positive
are hardly enough .,Negative
well,Positive
a good time,Positive
through horror and hellish conditions,Negative
"it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool .",Positive
unsurprising,Negative
smartly,Positive
rather sweet,Positive
"In fact , even better .",Positive
Dangerous,Negative
Disney scrape,Negative
"in their cheap , B movie way",Negative
is one of world cinema 's most wondrously gifted artists and storytellers .,Positive
me,Positive
particularly good,Positive
is not,Negative
smug,Negative
if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,Negative
solid performances,Positive
smartly emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds .,Positive
too hard to be mythic,Negative
of narrative banality,Negative
is a successful one .,Positive
a children 's film in the truest sense,Positive
The dragons are the real stars of Reign of Fire and,Positive
Steven Shainberg 's adaptation,Positive
may be ploughing the same furrow once too often .,Negative
visual virtues,Positive
"the gander , some of which occasionally amuses but none of which amounts to much of a story",Negative
Reeks,Negative
Sleek and arty .,Positive
summer entertainment,Positive
theater,Positive
hard to say who might enjoy this,Negative
self-indulgent and maddening,Negative
the well-wrought story,Positive
most thoughtful,Positive
fiction,Positive
with daring and verve,Positive
Mr. Polanski is in his element here :,Positive
reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating,Negative
outpaces its contemporaries with daring and verve,Positive
fighting the same fights,Negative
"Takes a clunky TV-movie approach to detailing a chapter in the life of the celebrated Irish playwright , poet and drinker",Negative
A little weak -- and it is n't that funny .,Negative
a smart new comedy,Positive
only open new wounds,Negative
's a lot richer than the ones Hollywood action screenwriters usually come up with on their own,Positive
the adrenaline jolt of a sudden lunch rush at the diner,Positive
inspired,Positive
It 's like going to a house party and watching the host defend himself against a frothing ex-girlfriend .,Negative
make a big splash,Positive
"The filmmakers want nothing else than to show us a good time , and",Positive
indecipherable plot complications,Negative
hard time,Negative
overboard,Negative
"by his art , which is more than he has ever revealed before about the source of his spiritual survival",Positive
"Screenwriter Chris ver Weil 's directing debut is good-natured and never dull , but",Positive
about 25 minutes of decent material,Negative
A comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .,Positive
"Mr. Polanski is in his element here : alone , abandoned , but still consoled by his art , which is more than he has ever revealed before about the source of his spiritual survival",Positive
the few ` cool ' actors who never seems aware of his own coolness,Positive
is in his element,Positive
"you 'd probably turn it off , convinced that you had already seen that movie .",Negative
"those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original",Negative
"chronicle not only of one man 's quest to be president , but of how that man single-handedly turned a plane full of hard-bitten , cynical journalists into what was essentially , by campaign 's end , an extended publicity department .",Positive
"an example of the kind of lush , all-enveloping movie experience it rhapsodizes",Positive
Important,Positive
to keep it interested,Positive
stooping to base melodrama,Negative
from its comic course,Positive
Eerily accurate depiction of depression,Positive
blown,Negative
keeps you,Positive
"of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original",Negative
A surprisingly ` solid ' achievement by director,Positive
A film that plays things so nice,Positive
even non-techies can enjoy,Positive
mug shots,Negative
"coming down off of Miramax 's deep shelves after a couple of aborted attempts , Waking Up in Reno makes a strong case for letting sleeping dogs lie .",Negative
"Though the film is well-intentioned , one could rent the original and get the same love story and parable .",Positive
to make a big splash .,Positive
inexorably gives way to rote sentimentality,Negative
"Hampered -- no , paralyzed -- by a self-indulgent script ... that aims for poetry and ends up sounding like satire",Negative
the highest production values you 've ever seen,Positive
just is n't a very involving one,Negative
bigger,Positive
the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling -LRB- though no less horrifying for it -RRB- .,Positive
a feature-length film,Positive
triumphantly returns to narrative filmmaking with a visually masterful work of quiet power .,Positive
amateurish,Negative
"an evanescent , seamless and sumptuous stream",Positive
lovefest,Positive
the smug self-satisfaction,Negative
Do n't,Negative
trying to distract us with the solution to another,Negative
that this film asks the right questions at the right time in the history of our country,Positive
"of its music or comic antics , but through the perverse pleasure of watching Disney scrape the bottom of its own cracker barrel",Negative
in amusing us,Positive
none of which amounts to much of a story,Negative
reaction,Positive
serious-minded the film,Positive
amuses,Positive
the delicate forcefulness of Greene 's prose,Positive
"If Mostly Martha is mostly unsurprising , it 's still a sweet , even delectable diversion .",Positive
More sophisticated and literate than such pictures,Positive
after the clever credits roll,Positive
the perverse pleasure of watching Disney scrape the bottom of its own cracker barrel,Negative
corny dialogue and preposterous moments,Negative
smiling,Positive
's a sharp movie about otherwise dull subjects,Positive
the perverse pleasure,Positive
furiously,Negative
very light,Positive
which is more than he has ever revealed before about the source of his spiritual survival,Positive
introspective and,Positive
"Some of the computer animation is handsome , and",Positive
's a sharp movie about otherwise dull subjects .,Positive
Genuinely unnerving .,Positive
"from its promenade of barely clad bodies in Myrtle Beach , S.C. , to the adrenaline jolt of a sudden lunch rush at the diner",Positive
is so intimate and sensual and funny and psychologically self-revealing,Positive
so pat it makes your teeth hurt,Negative
action scenes,Positive
with an utterly incompetent conclusion,Negative
refreshing,Positive
mesmerizing,Positive
precious,Positive
The characters are more deeply thought through than in most ` right-thinking ' films .,Positive
3000,Positive
rather convoluted,Negative
 ,Negative
satisfying,Positive
There is simply no doubt that this film asks the right questions at the right time in the history of our country .,Positive
", a dark little morality tale disguised as a romantic comedy .",Positive
"aims to be funny , uplifting and moving , sometimes",Positive
you 've ever seen,Positive
The filmmakers want nothing else than to show us a good time,Positive
lurks just below the proceedings and adds an almost constant mindset of suspense,Positive
emphasizes the well-wrought story,Positive
unsettling images,Negative
that would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the DVD,Negative
attracts the young and fit,Positive
consistently unimaginative,Negative
"They 're the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid .",Negative
", it 's still a sweet , even delectable diversion .",Positive
", I 'll admit it , my only complaint is that we did n't get more re-creations of all those famous moments from the show .",Positive
the best war movies,Positive
that 's very different from our own and yet instantly recognizable,Positive
if the movie is more interested in entertaining itself than in amusing us,Negative
"Amid the shock and curiosity factors , the film is just a corny examination of a young actress trying to find her way .",Negative
with wit it plays like a reading from Bartlett 's Familiar Quotations,Positive
gratuitous cinematic distractions,Positive
Downright transparent,Negative
otherwise dull,Negative
succeed,Positive
Legged Freaks,Negative
is handsome,Positive
You could hate it for the same reason .,Negative
not a Hollywood product,Negative
"is -RRB- the comedy equivalent of Saddam Hussein , and I 'm just about ready to go to the U.N. and ask permission for a preemptive strike .",Negative
common through-line,Positive
the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling -LRB- though no less horrifying for it -RRB-,Positive
gets the tone just right --,Positive
of the idealistic kid who chooses to champion his ultimately losing cause,Positive
"who love Cinema Paradiso will find the new scenes interesting , but few will find the movie",Positive
that is impossible to care about and is n't very funny,Negative
pomposity and pretentiousness,Negative
Damon brings the proper conviction to his role as -LRB- Jason Bourne -RRB- .,Positive
shines like a lonely beacon .,Positive
is in his element here,Positive
a love story as sanguine as its title,Positive
self-glorification and a manipulative whitewash,Negative
gag,Negative
"While The Importance of Being Earnest offers opportunities for occasional smiles and chuckles , it does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances .",Negative
this is the kind of production that would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the DVD,Negative
great,Positive
of the grieving process,Negative
Witty and often surprising,Positive
"be funny , uplifting and moving , sometimes",Positive
have a hard time sitting through this one,Negative
it just is n't a very involving one,Negative
inspiring,Positive
fans,Positive
's lazy for a movie,Negative
"crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing .",Positive
beautiful,Positive
mess,Negative
"an homage to Them , Tarantula and other low - budget B-movie thrillers of the 1950s and '60s",Positive
is plainly dull and visually ugly,Negative
Campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .,Positive
real bump-in - the-night chills,Positive
"directed , barely , by There",Negative
silly summer entertainment,Positive
deeply unsettling experience,Negative
Cinema Paradiso will find the new scenes interesting,Positive
refreshingly natural,Positive
on those terms it 's inoffensive and actually rather sweet,Positive
hate it for the same reason,Negative
sets the tone for a summer of good stuff,Positive
ultra-cheesy,Negative
the filmmakers ' post-camp comprehension of what made old-time B movies good-bad that makes Eight Legged Freaks a perfectly entertaining summer diversion,Positive
"an epic , but also a tragedy , the record of a tenacious , humane fighter who was also the prisoner -LRB- and ultimately the victim -RRB- of history",Positive
"'s most thoughtful films about art , ethics , and the cost of moral compromise",Positive
brilliantly played,Positive
the script 's endless assault,Negative
celebrates universal human nature,Positive
dialogue and preposterous moments,Negative
in the present,Positive
expedience,Positive
Being latently gay,Negative
would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the DVD,Negative
"cradles its characters , veiling tension beneath otherwise tender movements",Positive
"honestly , I do n't see the point",Negative
a film that hews out a world and carries us effortlessly from darkness to light,Positive
affection,Positive
Wilde 's wit and,Positive
roiling black-and-white inspires,Positive
absorbing documentary,Positive
"Bloody Sunday has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made .",Positive
all as Very Important,Positive
touch,Positive
"the record of a tenacious , humane fighter who was also the prisoner -LRB- and ultimately the victim -RRB- of history",Positive
clunky TV-movie approach,Negative
"aims to be funny , uplifting and moving , sometimes all at once .",Positive
some weird Masterpiece Theater sketch with neither,Negative
"coming down off of Miramax 's deep shelves after a couple of aborted attempts , Waking Up in Reno",Negative
has the right stuff for silly summer entertainment,Positive
well-intentioned effort,Positive
cool,Positive
dramaturgy,Negative
tenacious,Positive
a visual flair that waxes poetic far too much for our taste,Negative
goal,Positive
successful,Positive
dull,Negative
A slight but sweet film,Positive
great acting,Positive
's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,Negative
sophisticated,Positive
A mesmerizing cinematic poem,Positive
a great deal of corny dialogue and preposterous moments,Negative
... stale and uninspired .,Negative
holiday carol,Positive
good-natured and,Positive
plodding,Negative
for putting together any movies of particular value or merit,Positive
through the eyes of the idealistic kid who chooses to champion his ultimately losing cause,Positive
to narrative filmmaking with a visually masterful work of quiet power,Positive
particularly good film,Positive
is one of world cinema 's most wondrously gifted artists and,Positive
"its courage , ideas",Positive
"violent , self-indulgent and maddening",Negative
This is a superior horror flick .,Positive
joyous films that leaps over national boundaries and celebrates universal human nature .,Positive
's just as wonderful on the big screen,Positive
find the new scenes interesting,Positive
the latest eccentric,Positive
"indie of the year , so far .",Positive
The film is predictable in the reassuring manner of a beautifully sung holiday carol .,Positive
endless assault,Negative
put hairs on your chest,Positive
they do n't fit well together and neither is well told .,Negative
overeager,Negative
feels as if the movie is more interested in entertaining itself than in amusing us .,Negative
weak,Negative
Chris,Positive
convinced,Positive
"spirals downward ,",Negative
's brilliant `,Positive
on world domination and destruction,Positive
all the interesting developments,Positive
where big stars and high production values are standard procedure,Positive
can enjoy,Positive
Keenly,Positive
liking,Positive
probably the only way to have saved the film is with the aid of those wisecracking Mystery Science Theater 3000 guys,Negative
sometimes the dreams of youth should remain just that,Negative
is impossible to care about,Negative
with a visually masterful work of quiet power,Positive
Ice Age is the first computer-generated feature cartoon to feel like other movies,Positive
"of a man we only know as an evil , monstrous lunatic",Negative
violence,Negative
achievement,Positive
it 's what makes this rather convoluted journey worth taking,Positive
could have given audiences the time of day by concentrating on the elements of a revealing alienation among a culture of people who sadly are at hostile odds with one another through recklessness and retaliation,Positive
aims for poetry and ends up sounding like satire,Negative
the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,Negative
"'s as comprehensible as any Dummies guide , something even non-techies can enjoy",Positive
terror the heroes of horror movies try to avoid,Negative
It 's a sharp movie about otherwise dull subjects .,Positive
-LRB- An -RRB- absorbing documentary,Positive
Daughter,Positive
never plays as dramatic even when dramatic things happen to people .,Negative
A mesmerizing cinematic poem from the first frame to the last .,Positive
while peppering the pages with memorable zingers,Positive
Intriguing and downright intoxicating,Positive
keep them guessing,Positive
highest production values,Positive
the pool with an utterly incompetent conclusion,Negative
It gets the details of its time frame right but it completely misses its emotions .,Negative
cliched dialogue,Negative
emphasis,Positive
"The screenplay by James Eric , James Horton and director Peter O'Fallon ... is so pat it makes your teeth hurt .",Negative
"fails on its own ,",Negative
"abandoned , but",Negative
writer and director Burr Steers knows the territory,Positive
neither is well told,Negative
stirring visual sequence,Positive
dog,Positive
"Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .",Positive
an enjoyable 100 minutes,Positive
hell-jaunt,Negative
problem,Negative
"Whenever it threatens to get bogged down in earnest dramaturgy , a stirring visual sequence like a surge through swirling rapids or a leap from pinnacle to pinnacle rouses us .",Positive
improvement,Positive
a sweet and modest and,Positive
its mainland setting,Positive
horror and hellish conditions,Negative
"has a way of gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements .",Positive
this rich and luscious,Positive
released the outtakes theatrically and used the film as a bonus feature on the DVD,Negative
the kind of ` laugh therapy ' I need from movie comedies,Positive
-LRB- but ultimately silly -RRB-,Negative
sharp,Positive
is so pat it makes your teeth hurt,Negative
for the heart as well as the mind,Positive
"An uncluttered , resonant gem",Positive
Transforms one of -LRB- Shakespeare 's -RRB- deepest tragedies,Positive
sad,Negative
defend himself,Positive
"An unsettling , memorable cinematic experience that does its predecessors proud .",Positive
a summer,Positive
Ki-Deok,Positive
rooted,Positive
his greatest triumph is keeping the creepy crawlies hidden in the film 's thick shadows,Positive
"After the first 10 minutes , which is worth seeing",Positive
"There 's little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity .",Negative
drama,Negative
injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater,Positive
into a smart new comedy,Positive
"is better than any summer blockbuster we had to endure last summer , and hopefully , sets the tone for a summer of good stuff .",Positive
sincere performance,Positive
Mediocre,Negative
lacks,Negative
so much more,Positive
complex story,Positive
give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances,Negative
"Provides the kind of ` laugh therapy ' I need from movie comedies -- offbeat humor , amusing characters , and a happy ending .",Positive
get the same love story and parable,Positive
"its courage , ideas , technical proficiency and",Positive
clever credits roll,Positive
ugly,Negative
"Perhaps it 's cliche to call the film ` refreshing , ' but it is .",Positive
high-concept,Positive
high-concept films,Positive
never seems aware of his own coolness,Positive
A mesmerizing cinematic poem from the first frame to the last,Positive
"a bilingual charmer , just like the woman who inspired it",Positive
a stirring visual sequence like a surge through swirling rapids or a leap from pinnacle to pinnacle rouses us .,Positive
more than a run-of-the-mill action,Positive
Charming,Positive
amusing characters,Positive
"indie of the year , so far",Positive
tumbleweeds blowing through the empty theatres,Negative
"has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made .",Positive
as a thriller about the ruthless social order that governs college cliques,Positive
comedy to start a reaction,Positive
shines,Positive
the heart as well as,Positive
in a sincere performance,Positive
"the filmmaker would disagree , but , honestly , I do n't see the point",Negative
"'s little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity",Negative
convoluted,Negative
"Its flame-like , roiling black-and-white inspires trembling and gratitude .",Positive
"directed , barely ,",Negative
with solid performances and eerie atmosphere,Positive
so intimate and sensual and funny and,Positive
substitutable,Negative
kind,Positive
ultimately losing cause,Negative
super-wealthy megalomaniac bent on world domination and destruction,Negative
interesting developments,Positive
quiet power,Positive
an -LRB- emotionally at least -RRB- adolescent audience demanding regular shocks and bouts of barely defensible sexual violence to keep it interested,Negative
", the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes .",Positive
is a heartfelt story,Positive
a visually masterful work,Positive
The movie 's progression into rambling incoherence,Negative
is generous and deep,Positive
A very funny romantic comedy about two skittish New York middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .,Positive
that has finally found the right vent -LRB- accurate,Positive
rare,Positive
solution,Positive
"this sad , occasionally horrifying but often inspiring film",Positive
wears out its welcome as tryingly as the title character,Negative
"Steven Shainberg 's adaptation of Mary Gaitskill 's harrowing short story ... is a brilliantly played , deeply unsettling experience .",Positive
humor,Positive
a sudden lunch rush,Positive
a conventional thriller evolves into a gorgeously atmospheric meditation on life-changing chance encounters,Positive
is one of world cinema 's most wondrously gifted artists and storytellers,Positive
"Poor editing , bad bluescreen , and",Negative
greatest,Positive
more enjoyable,Positive
diverse,Positive
"Poor editing , bad bluescreen ,",Negative
"do n't believe , and puts them into a battle of wills that is impossible to care about and is n't very funny",Negative
is more than he has ever revealed before about the source of his spiritual survival,Positive
cliched dialogue and,Negative
turn it off,Negative
"The film , despite the gratuitous cinematic distractions impressed upon it , is still good fun .",Positive
the action scenes are poorly delivered,Negative
new,Positive
enjoyable,Positive
style and flash,Positive
is spooky and subtly,Positive
improved,Positive
engaging and unpredictable character pieces,Positive
enough freshness,Positive
to confident filmmaking and a pair of fascinating performances,Positive
"Thanks to confident filmmaking and a pair of fascinating performances , the way to that destination is a really special walk in the woods .",Positive
an utterly incompetent conclusion,Negative
A mawkish self-parody,Negative
A rip-roaring comedy action,Positive
emotionally scattered film whose hero gives his heart only to the dog,Negative
famous moments,Positive
greatest triumph,Positive
"failing , ultimately ,",Negative
"its courage , ideas ,",Positive
hate it,Negative
weirdly,Negative
"quiet , introspective and entertaining",Positive
"Has no reason to exist , other than to employ Hollywood kids and people who owe favors to their famous parents .",Negative
is not only a love song to the movies,Positive
good stuff,Positive
the bottom of the pool with an utterly incompetent conclusion,Negative
mixed results,Negative
", but through the perverse pleasure of watching Disney scrape the bottom of its own cracker barrel",Negative
"A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",Negative
The dragons are the real stars of Reign of Fire and you wo n't be disappointed,Positive
"most thoughtful films about art , ethics , and the cost of moral compromise",Positive
memorable,Positive
phrase ` fatal script error,Negative
safe,Positive
", About a Boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater .",Positive
that probably the only way to have saved the film is with the aid of those wisecracking Mystery Science Theater 3000 guys,Negative
is impossible to care about and,Negative
life,Positive
It never plays as dramatic even when dramatic things happen to people .,Negative
This is a heartfelt story ... it just is n't a very involving one .,Negative
"pat storylines , precious circumstances and beautiful stars",Positive
offers opportunities for occasional smiles,Positive
the right stuff for silly summer entertainment,Positive
the rare capability to soothe and break your heart with a single stroke,Positive
Plays like a series of vignettes -- clips of a film that are still looking for a common through-line .,Negative
could force you to scratch a hole in your head,Negative
of tumbleweeds blowing through the empty theatres,Negative
Pow,Positive
"to be funny , uplifting and moving , sometimes",Positive
A smart,Positive
fall 's,Positive
distract,Negative
drawn engaging characters,Positive
life that 's very different from our own and yet instantly recognizable,Positive
happy,Positive
asks the right questions at the right time in the history of our country,Positive
things so nice,Positive
coolness,Positive
Transforms one of -LRB- Shakespeare 's -RRB- deepest tragedies into a smart new comedy,Positive
is predictable in the reassuring manner of a beautifully sung holiday carol,Positive
you wondering about the characters ' lives after the clever credits roll,Positive
", Swimming gets the details right , from its promenade of barely clad bodies in Myrtle Beach , S.C. , to the adrenaline jolt of a sudden lunch rush at the diner .",Positive
that allows Americans to finally revel in its splendor,Positive
it threatens to get bogged down in earnest dramaturgy,Negative
be ploughing the same furrow once too often,Negative
the laughs,Positive
", seamless and sumptuous stream",Positive
original,Positive
made a movie that will leave you wondering about the characters ' lives after the clever credits roll,Positive
radical action,Positive
Just about everyone involved here seems to be coasting .,Negative
But it does n't leave you with much .,Negative
"followed the runaway success of his first film , The Full Monty ,",Positive
Though the film is well-intentioned,Positive
are an absolute joy,Positive
inept,Negative
"'d probably turn it off ,",Negative
baseball movies that try too hard to be mythic,Negative
a good indication of how serious-minded the film is,Positive
has this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,Negative
Keenly observed and,Positive
Screenwriter Chris ver Weil 's directing debut is good-natured and never dull,Positive
Jones has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers .,Positive
appreciate,Positive
An -RRB-,Positive
", to the adrenaline jolt of a sudden lunch rush at the diner",Positive
's a lot richer than the ones,Positive
string,Positive
