Phrase,Sentiment
A crass and insulting homage to great films like Some Like It Hot and the John Wayne classics .,0
come away with a sense of his reserved but existential poignancy,3
elegant visual sense,3
be well worth your time,4
the best war movies,3
"A look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans",3
of director John Stockwell,3
The actresses find their own rhythm and protect each other from the script 's bad ideas and awkwardness .,3
in the series,3
"a fascinating , compelling story",4
uncomfortable,1
"is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",0
street-smart,3
Great character,4
our best achievements and,3
"It never quite makes it to the boiling point , but manages to sustain a good simmer for most of its running time .",3
"is an intelligent , realistic portrayal of testing boundaries",3
from darkness,2
magnificent,4
this little $ 1.8 million charmer,3
"reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights",4
enormously endearing,4
"crafted an engaging fantasy of flavours and emotions , one part romance novel , one part recipe book",4
"We hate -LRB- Madonna -RRB- within the film 's first five minutes ,",0
sex in the movies look like cheap hysterics,1
", the director 's experiment is a successful one .",4
is born to play Shaggy,3
funny and human and really,4
entirely,2
soulful gravity,4
perceptive,3
bears a grievous but obscure complaint against fathers,1
exercise,2
to place blame,1
clips,2
optimistic,3
Tartakovsky 's team,2
"This is a movie that refreshes the mind and spirit along with the body ,",4
"a comedy , a romance , a fairy tale",3
"into the life of Wladyslaw Szpilman , who is not only a pianist , but a good human being",3
better than,3
fairly straightforward,3
who is drawn into the exotic world of belly dancing,3
Huppert 's volatile performance makes for a riveting movie experience,4
"its heart , as simple self-reflection meditation",3
", then you 'll enjoy The Hot Chick .",4
You get the impression that writer and director Burr Steers knows the territory ...,3
very much,2
a prince of a fellow,3
"An uncluttered , resonant gem that relays its universal points without lectures or confrontations",3
family values,3
enjoy the film,3
"susceptible to blue hilarity ,",3
who is not a character in this movie,3
a lot of stamina and vitality,3
pinnacle,3
be viewed and treasured for its extraordinary intelligence and originality as well as,3
comic voice,3
distinguished actor,4
the outcome of `` Intacto 's '' dangerous and seductively stylish game,4
maximum comfort and familiarity,3
Writer\/director Burr Steers,2
", one would be hard-pressed to find a movie with a bigger , fatter heart than Barbershop .",4
fanciful,3
Teddy Bears ' Picnic ranks,3
while reaffirming Washington as possibly the best actor working in movies today,4
austerity and forcefulness,3
humorous and tender,3
loves its characters and communicates something rather beautiful,3
"arrive on the big screen with their super-powers , their super-simple animation and their super-dooper-adorability intact .",3
damned wonderful,4
"'s all-powerful , a voice for a pop-cyber culture that feeds on her Bjorkness",3
falls flat as thinking man CIA agent Jack Ryan,0
"Fessenden continues to do interesting work , and",4
Those who are n't put off by the film 's austerity will find it more than capable of rewarding them .,4
-LRB- but ultimately silly -RRB-,1
visually compelling one,3
"its Hawaiian setting , the science-fiction trimmings and some moments of rowdy slapstick",3
Intelligent,4
finest non-Bondish performance,4
a murder mystery that expands into a meditation on the deep deceptions of innocence,3
Read My Lips is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love .,4
high-minded appeal,3
satire,2
"This charming , thought-provoking New York fest",4
Kim Ki-Deok seems to have in mind an -LRB- emotionally at least -RRB- adolescent audience demanding regular shocks and bouts of barely defensible sexual violence to keep it interested .,1
made fresh by an intelligent screenplay and gripping performances,4
"is fresh to say about growing up Catholic or , really , anything",3
A very funny romantic comedy about two skittish New York middle-agers who stumble into a relationship and then,3
show,2
", I do n't see the point",1
midlife crisis,1
to narrative filmmaking with a visually masterful work of quiet power,3
the record,2
're entirely unprepared,1
subtle,3
"A quiet , disquieting triumph",3
"indie of the year , so far",4
Lots of effort and intelligence are on display,3
bring off this wild Welsh whimsy,3
become apparent that the franchise 's best years are long past,0
"as Sand 's masculine persona , with its love of life and beauty , takes form",3
"the masses with star power , a pop-induced score and sentimental moments",3
"works spectacularly well ... A shiver-inducing , nerve-rattling ride",4
"captures , in luminous interviews and amazingly evocative film from three decades ago , the essence of the Dogtown experience",4
Minority Report commands interest almost solely as an exercise in gorgeous visuals .,3
juiced,3
Pretend like your SAT scores are below 120 and you might not notice the flaws,0
touched,3
soars above the material realm,3
for a director I admire,3
is highly pleasurable .,4
"It 's fun ,",3
elicits strong performances,3
West,2
"relic from a bygone era , and its convolutions ... feel",2
"You can watch , giggle and get an adrenaline boost without feeling like you 've completely lowered your entertainment standards .",3
intelligence and originality,3
An engrossing and infectiously enthusiastic documentary .,4
The unexplored story opportunities,3
comedy boilerplate,2
At once emotional and richly analytical,4
of fun,3
The Pianist like a surgeon mends a broken heart ; very meticulously but without any passion,1
"the story , like Ravel 's Bolero , builds to a crescendo that encompasses many more paths than we started with .",3
the courage of New York 's finest and a nicely understated expression of the grief,4
so-bad-they,0
of tumbleweeds blowing through the empty theatres,0
Done in mostly by a weak script that ca n't support the epic treatment .,0
"will leave you wanting more , not to mention leaving you with some laughs and a smile on your face",4
but it makes for one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while .,4
A solid and refined piece of moviemaking,3
the chief reasons Brown Sugar is such a sweet and sexy film,4
thought through than in most ` right-thinking ' films,3
"is a cinephile 's feast , an invitation to countless interpretations",4
Insomnia,1
A movie of technical skill and rare depth of intellect and feeling .,4
enough insight to keep it from being simpleminded,3
thick with wit it plays like a reading from Bartlett 's Familiar Quotations,3
"creates a drama with such a well-defined sense of place and age -- as in , 15 years old -- that the torments and angst become almost as operatic to us as they are to her characters .",3
off-putting,1
"bursting with incident , and with scores of characters , some fictional , some from history",3
as hilarious,3
one of Mr. Chabrol 's subtlest works,3
makes for some glacial pacing early on,1
a bonus feature,3
"the story , like Ravel 's Bolero , builds to a crescendo that encompasses many more paths than we started with",3
An annoying orgy,0
It trusts the story it sets out to tell .,4
more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing,4
"is a pan-American movie , with moments of genuine insight into the urban heart .",4
Dragonfly,3
"For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .",4
their quirky inner selves,3
does n't leave you with much,1
is an undeniably intriguing film from an adventurous young talent who finds his inspiration on the fringes of the American underground .,3
I suppose it 's lovely that Cal works out his issues with his dad and comes to terms with his picture-perfect life --,3
lighting effects and innovative backgrounds,3
"An energizing , intoxicating documentary charting the rise of hip-hop culture in general and the art of scratching -LRB- or turntablism -RRB- in particular .",4
infantile,1
"This is a smart movie that knows its classical music , knows its Freud and knows its Sade .",3
was better than Saving Private Ryan,3
a self-indulgent script,0
terms of authenticity,3
for more,2
certainly appeal to Asian cult cinema fans and Asiaphiles interested to see what all the fuss is about .,3
"Deep intelligence and a warm , enveloping affection breathe out of every frame .",4
Happy !,3
"win you over , in a big way",4
Initial strangeness inexorably gives way to rote sentimentality and mystical tenderness becomes narrative expedience .,2
still has a sense of his audience,4
a battle,2
"Frailty '' offers chills much like those that you get when sitting around a campfire around midnight , telling creepy stories to give each other the willies .",4
can relate,3
"a joy to watch , even when her material is not first-rate",3
that make it well worth watching,4
flinging their feces at you,1
visual flair,3
a milquetoast movie of the week blown up for the big screen,1
laughs,3
looking and stylish,3
you wish had been developed with more care,0
Cleaver,3
can easily imagine Benigni 's Pinocchio becoming a Christmas perennial .,4
virtual roller-coaster ride,3
inspires,4
theme,2
will please Eastwood 's loyal fans --,4
"Like Smoke Signals , the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama",3
bloody beauty,3
Game,2
all the loss,1
for the earnest emotional core,3
as hilariously raunchy as South Park,4
revealed before about the source of his spiritual survival,3
"recommend it , because it overstays its natural running time",3
an engaging story that keeps you guessing at almost every turn,4
enter,3
go to the U.N. and,2
"Now as a former Gong Show addict , I 'll admit it , my only complaint is that we did n't get more re-creations of all those famous moments from the show .",3
intellectual and,3
"'s an actor 's showcase that accomplishes its primary goal without the use of special effects , but rather by emphasizing the characters -- including the supporting ones",3
could be considered a funny little film,3
"300 years of Russian history and culture compressed into an evanescent , seamless and sumptuous stream of consciousness .",4
"does its best to work us over , with second helpings of love , romance , tragedy , false dawns , real dawns , comic relief , two separate crises during marriage ceremonies , and the lush scenery of the Cotswolds .",3
fast fade,1
suspenseful enough for older kids but not too scary,3
is certainly no disaster,3
"Plodding , peevish and gimmicky",0
meditative,3
powerful and revelatory,4
for the most creative mayhem in a brief amount of time,3
"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera .",3
", the more outrageous bits achieve a shock-you-into-laughter intensity of almost Dadaist proportions .",4
script error,1
this much imagination,3
breathless movie,3
"it is a kind , unapologetic , sweetheart of a movie ,",4
Charlotte Sometimes is a brilliant movie .,4
theatrically,2
"his cinematographer ,",2
unpredictable,2
it ai n't half-bad .,3
laugh because he acts so goofy all the time,3
young romantics out on a date,2
"around some flawed but rather unexceptional women , emerging with a fine character study that 's short on plot but rich in the tiny revelations of real life",3
's a sharp movie about otherwise dull subjects,3
"will win you over , in a big way",3
is a masterpiece of elegant wit and artifice .,4
is more interesting -LRB- and funnier -RRB-,3
"The color sense of Stuart Little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie were n't as beautifully shaped and as delicately calibrated in tone as it is",4
'm all for that,3
more interested in entertaining itself than in amusing us,1
A sleek advert for youthful anomie,3
suavity,3
esoteric,3
works out,3
is at once a tough pill to swallow and a minor miracle of self-expression,3
non-techies can enjoy,3
a very tasteful rock and roll movie,4
its ability to shock and amaze,3
"Kids will love its fantasy and adventure , and grownups should appreciate its whimsical humor",3
mesmerizing cinematic poem,3
"proves absolutely that really , really , really good things can come in enormous packages .",4
short of both adventure and song,0
"The evocative imagery and gentle , lapping rhythms of this film are infectious --",4
animated by an energy that puts the dutiful efforts of more disciplined grade-grubbers,3
'd live in if Argento 's Hollywood counterparts ... had this much imagination and nerve,3
Ya-Yas everywhere will forgive the flaws and love the film .,3
the religious and civic virtues,2
a funny no-brainer,3
a visual flair that waxes poetic far too much for our taste,1
large-format,3
over the end of cinema,3
it threatens to get bogged down in earnest dramaturgy,1
through clever makeup design,3
riveted,4
"a winning , heartwarming yarn",4
put a lump in your throat while reaffirming Washington as possibly the best actor working in movies today,4
"call for prevention rather than to place blame , making it one of the best war movies ever made",4
stylized Swedish fillm,3
looks pretty,3
are struggling to give themselves a better lot in life than the ones,3
something rare and riveting,4
then,2
at the variety of tones in Spielberg 's work,3
about documentaries in which underdogs beat the odds and the human spirit triumphs,3
is among Wiseman 's warmest .,3
A stylish cast and some clever scripting solutions,4
emotion,2
Huston performance,3
filmed more irresistibly than in ` Baran,3
excellent use,3
kinda dumb,1
set in the world of lingerie models and bar dancers in the Midwest that held my interest precisely because it did n't try to,4
visually atrocious,0
under cars,3
film that 's flawed and brilliant in equal measure .,3
"They 're going through the motions , but",1
... is so pat it makes your teeth hurt .,1
movie star charisma,3
", deceit and murder",1
help Chicago make the transition from stage to screen with considerable appeal intact .,3
a fairy tale that comes from a renowned Indian film culture that allows Americans to finally revel in its splendor,4
sensuality,3
the eyes of the idealistic kid who chooses to champion his ultimately losing cause,2
depress,1
honesty,3
the edge of your seat for long stretches,3
well worth watching,4
clearly means to,2
as well-conceived as either of those films,3
practically every facet of inept filmmaking,1
Norris `` grenade gag '',2
", purpose and emotionally bruised characters",3
"'s good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .",3
painfully,0
"I 've never seen or heard anything quite like this film , and I recommend it for its originality alone",4
often incisive satire and unabashed sweetness,3
Purports to be a Hollywood satire but winds up as the kind of film that should be the target of something,0
"love Cinema Paradiso , whether the original version or new Director 's Cut",4
some kind of goofy grandeur,3
", it remains brightly optimistic , coming through in the end",3
that would be me : fighting off the urge to doze .,0
"Twenty years after its first release , E.T. remains the most wondrous of all Hollywood fantasies -- and the apex of Steven Spielberg 's misunderstood career .",4
for everyone,3
his actors,2
"to call for prevention rather than to place blame , making it one of the best war movies ever made",4
sincere performance,4
solidly connect with one demographic while,3
David Kendall,2
"a canny crowd pleaser , and The Last Kiss",4
interesting cinematic devices -LRB- cool visual backmasking -RRB-,3
"The emotion is impressively true for being so hot-blooded , and both leads are up to the task .",4
's most weirdly engaging and unpredictable character pieces,3
A seriocomic debut of extravagant promise by Georgian-Israeli director Dover Kosashvili .,3
valuable messages,3
vividly,3
"photographed with colour and depth , and rather a good time",4
have to see it,3
that it 'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture,3
"thanks in part to interesting cinematic devices -LRB- cool visual backmasking -RRB- , a solid cast , and some wickedly sick and twisted humor",4
want nothing else,2
there 's a casual intelligence that permeates the script,3
fatally overlong,0
nicely,3
in the theater,2
"failing , ultimately ,",0
exceptionally good,4
diversion,2
the rare capability to soothe and break your heart with a single stroke,3
lavish formalism,3
without sacrificing its high-minded appeal,3
barely clad,2
feel very much like a brand-new tomorrow,3
young talent,3
immersive powers,3
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? '',0
"delivered ,",3
like something wholly original,4
the unsettling images,2
the grieving process,1
unlikely,2
"its willingness to explore its principal characters with honesty , insight and humor",4
also rocks .,4
Scarcely worth,0
"a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people",0
is the far superior film .,4
frustration,0
"in which an ominous , pervasive , and unknown threat lurks just below the proceedings and adds an almost constant mindset of suspense",3
stylish film,3
"The Bai brothers have taken an small slice of history and opened it up for all of us to understand ,",4
helmer,3
rewrite designed to garner the film a `` cooler '' PG-13 rating,2
tear-drenched,3
is one helluva singer,3
are scenes of cinematic perfection that steal your heart away .,4
things,2
be cherished,3
"As warm as it is wise , deftly setting off uproarious humor with an underlying seriousness that sneaks up on the viewer , providing an experience that is richer than anticipated .",4
"Watchable up until the point where the situations and the dialogue spin hopelessly out of control -- that is to say , when Carol Kane appears on the screen",0
larger than life,3
cuteness,3
threatens,1
fiction,3
blowing through the empty theatres,2
an epic four-hour Indian musical about a cricket game,3
look like cheap hysterics,0
the worst film,0
with a sense of his reserved but existential poignancy,3
memory,2
the best he 's been in years,4
raunch,1
feces,1
to frighten and disturb,2
less dizzily gorgeous companion,2
"World Traveler might not go anywhere new , or arrive anyplace special , but it 's certainly an honest attempt to get at something .",3
A generic bloodbath that often becomes laughably unbearable when it is n't merely offensive .,0
of which mainstream audiences have rarely seen,3
"of the best , most",3
'll keep you wide awake and ... very tense .,3
that he has been able to share his story so compellingly with us is a minor miracle,4
A fiercely clever and subtle film,4
"turn out a small , personal film with an emotional wallop",3
big time,3
"the 2002 film does n't really believe in it , and breaks the mood with absurdly inappropriate ` comedy ' scenes .",0
barely realize your mind is being blown .,3
an enthusiastic charm in Fire,4
"Halfway through the movie , the humor dwindles .",1
A sometimes incisive and sensitive portrait,3
imaginary,3
"She 's as rude and profane as ever , always hilarious and , most of the time , absolutely right in her stinging social observations .",4
Its sheer dynamism,4
"A thoughtful , reverent portrait",4
dropped,3
is Oscar-worthy,4
why the cast and crew did n't sign a pact to burn the negative and the script and pretend the whole thing never existed,0
as funny or entertaining,3
We hate -LRB- Madonna -RRB- within the film 's first five minutes,0
cold,1
in the present,3
attempts,2
A full experience,3
please Eastwood 's loyal fans,3
the comic possibilities,3
our emotional investment,3
remains brightly optimistic,3
"amused and entertained by the unfolding of Bielinsky 's cleverly constructed scenario , and",3
slick production values,3
crawlies,1
it 's defiantly and delightfully against the grain .,4
runs through a remarkable amount of material in the film 's short 90 minutes,3
So vivid,3
"gentle , lapping rhythms of this film",3
his film,2
"It 's a piece of handiwork that shows its indie tatters and self-conscious seams in places , but has some quietly moving moments and an intelligent subtlety .",3
halfway intriguing plot,3
the goose,2
such a dependable concept,3
"whose view of America , history and the awkwardness of human life is generous and deep",3
script,2
one helluva singer,4
created a breathtakingly assured and stylish work of spare dialogue and acute expressiveness,4
", slapdash disaster .",0
"The jokes are flat , and the action looks fake",1
maintaining the appearance of clinical objectivity,3
"offbeat humor , amusing characters , and",3
'n safe as to often play like a milquetoast movie of the week blown up for the big screen,1
enjoyed most of Mostly Martha while I ne,3
It 's a movie that accomplishes so much that one viewing ca n't possibly be enough .,3
have you at the edge of your seat for long stretches,4
understated performances of -LRB- Jack Nicholson 's -RRB- career .,3
'd have to be a most hard-hearted person not to be moved by this drama .,4
a gorgeous color palette,4
"An honest , sensitive story from a Vietnamese point of view .",4
summer blockbuster,3
"the director of such Hollywood blockbusters as Patriot Games can still turn out a small , personal film with an emotional wallop",3
one more dumb high school comedy about sex gags and prom dates,0
's always fun to watch,3
light-hearted,3
"Screenwriter Chris ver Weil 's directing debut is good-natured and never dull , but",3
A gift,3
"because of the universal themes , earnest performances ... and excellent use of music by India 's popular Gulzar and Jagjit Singh",3
insanely violent,1
Plays like a series of vignettes --,2
does its best,3
A lot more dimensional and complex than its sunny disposition,3
gorgeous,3
make a big splash,3
charm and charisma,3
"in their cheap , B movie way , they succeed",3
as happy listening to movies,3
morality tale,3
we 'd live in if Argento 's Hollywood counterparts ... had this much imagination and nerve,3
quite funny,4
the way to striking a blow for artistic integrity,3
a non-stop funny feast,4
denouement,1
are flat,1
puzzles me is the lack of emphasis on music in Britney Spears ' first movie .,1
mean-spirited,1
"continues to systematically destroy everything we hold dear about cinema , only now it 's begun to split up so that it can do even more damage .",0
Austin Powers films,3
"'m not sure which is worse : the poor acting by the ensemble cast , the flat dialogue by Vincent R. Nebrida or the gutless direction by Laurice Guillen",0
"solidly constructed , entertaining thriller",4
the DVD,2
commands,3
"Brings to a spectacular completion one of the most complex , generous and subversive artworks of the last decade .",4
great game,3
good actors,3
ranks as the most original in years,4
Hilarious,3
interesting bit,3
depress you about life itself,1
the most positive comment we can make,3
appear avant-garde,3
Steven,2
above all,3
an insane comic undertaking that ultimately coheres into a sane and breathtakingly creative film,4
's a whole heap of nothing at the core of this slight coming-of-age\/coming-out tale,0
that efforts toward closure only open new wounds,1
war,1
Wilde 's play is a masterpiece of elegant wit and artifice .,4
"'s a terrible movie in every regard ,",0
enduring,3
"covers huge , heavy topics in a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people",1
favored by many directors of the Iranian new wave,3
does so many of the little things right,4
as wonderful on the big screen,4
"An energizing ,",3
strongest,3
its mainland setting,3
does pack some serious suspense,4
It 's the unsettling images of a war-ravaged land that prove more potent and riveting than the unlikely story of Sarah and Harrison .,2
"should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing",4
Its generic villains lack any intrigue -LRB- other than their funny accents -RRB- and,0
"If `` Lilo & Stitch '' is n't the most edgy piece of Disney animation to hit the silver screen , then this first film to use a watercolor background since `` Dumbo '' certainly ranks as the most original in years .",4
sexy slip,3
would be me : fighting off the urge to doze,1
good poetry,3
"From the opening strains of the Average White Band 's `` Pick up the Pieces '' , you can feel the love .",3
is no doubt that Krawczyk deserves a huge amount of the credit for the film 's thoroughly winning tone,4
"Hey , Happy !",3
"Sarandon , who could n't be better as a cruel but weirdly likable WASP matron",4
already relayed by superb,3
is as consistently engaging as it is revealing .,4
"The unique niche of self-critical , behind-the-scenes navel-gazing Kaufman has carved from Orleans ' story and his own infinite insecurity is a work of outstanding originality",4
enough energy and excitement,3
the pages,2
of what made old-time B movies good-bad that makes Eight Legged Freaks a perfectly entertaining summer diversion,3
Terrific casting and solid execution,4
"it 's as comprehensible as any Dummies guide , something even non-techies can enjoy .",3
dramatic impact,3
'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture,3
a casual intelligence that permeates the script,3
"knows its classical music , knows its Freud and",3
"its recycled aspects , implausibility , and",0
fake,1
understand,2
flamboyant female comics,3
... gives his best screen performance with an oddly winning portrayal of one of life 's ultimate losers .,3
much about the ownership and redefinition of myth,3
standout performance,4
there is one word that best describes this film : honest .,4
and downright intoxicating,2
exercise in sham actor workshops and an affected malaise .,0
of all those famous moments,3
had their hearts in the right place .,3
that one viewing ca n't possibly be enough,3
is the best he 's been in years,4
"sweet , even delectable",4
Too clumsy in key moments,1
subtle and richly internalized performance,4
"A fascinating , dark thriller",3
What 's invigorating about,3
", or inventive",3
"A culture-clash comedy that , in addition to being very funny",4
"as it cradles its characters , veiling tension beneath otherwise tender movements",2
deeply unsettling experience,1
", relatively lightweight commercial fare such as Notting Hill to commercial fare with real thematic heft .",3
"For a long time the film succeeds with its dark , delicate treatment of these characters and its unerring respect for them .",3
"his most daring , and complicated , performances",4
to the finish line,3
A heartening tale of small victories,3
"the compassion , good-natured humor",3
"some unpaid intern had just typed ` Chris Rock , ' ` Anthony Hopkins ' and ` terrorists ' into some Univac-like script machine",0
Offers a clear-eyed chronicle of a female friendship that is more complex and honest than anything represented in a Hollywood film,4
"remains brightly optimistic , coming through in the end",4
An incredibly irritating comedy about thoroughly vacuous people,0
abridged edition,3
has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers .,4
the tragedy beneath it,3
float like butterflies and the spinning styx sting like bees,3
Diggs and Lathan are among the chief reasons Brown Sugar is such a sweet and sexy film .,4
go the distance,3
romp of a film,3
to mess,2
unsettling images,1
life-affirming,3
only,2
create,3
insultingly inept and artificial,0
the cartoon 's more obvious strength of snazziness,3
20th,3
A crass and insulting homage to great films,0
"has a key strength in its willingness to explore its principal characters with honesty , insight and humor .",3
", uplifting and moving",4
an homage,2
never loses its ability to shock and amaze .,4
get more out of the latter experience,3
make this surprisingly decent flick worth a summertime look-see .,4
made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept,0
mixed-up,3
how love is the great equalizer that can calm us of our daily ills and bring out joys in our lives that we never knew were possible,4
Frequent flurries of creative belly laughs and genuinely enthusiastic performances,4
that is able to visualize schizophrenia but is still confident enough to step back and look at the sick character with a sane eye,3
far,2
a skillful fisher,3
a run-of-the-mill action,2
credits roll,2
"Some of the computer animation is handsome , and",3
pretend the whole thing never existed,0
"Insomnia does not become one of those rare remakes to eclipse the original , but it does n't disgrace it , either",3
hold,2
"Methodical , measured , and gently tedious in its comedy , Secret Ballot is a purposefully reductive movie -- which may be why it 's so successful at lodging itself in the brain .",4
represents some sort of beacon of hope in the middle of Chicago 's South Side,3
fax,3
offers a great deal of insight into the female condition,3
"Despite lagging near the finish line , the movie runs a good race , one that will have you at the edge of your seat for long stretches . '",3
a decent sense of humor and plenty,4
"Stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .",4
more streamlined,3
Delivers roughly equal amounts of beautiful movement and inside information .,3
"Definitely a crowd-pleaser , but then , so was the Roman Colosseum .",3
an original,4
of nostalgic comments from the now middle-aged participants,3
writer,2
's going on here,2
Pretend like your SAT scores are below 120,0
Chabrol 's best,3
cartoon 's,3
good for this sucker,3
"As home movie gone haywire , it 's pretty enjoyable , but",3
say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,2
"As David Letterman and The Onion have proven , the worst of tragedies can be fertile sources of humor ,",3
fascination,3
Chicago make the transition from stage to screen with considerable appeal intact,3
"Rock solid family fun out of the gates , extremely imaginative through out",4
with stunning architecture,4
"Birthday Girl lucks out with Chaplin and Kidman , who are capable of anteing up some movie star charisma when they need it to sell us on this twisted love story , but who can also negotiate the movie 's darker turns .",3
A deeply felt and vividly detailed story about newcomers in a strange new world .,3
the expense,2
does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances .,2
The film is darkly funny in its observation of just how much more grueling and time-consuming the illusion of work is than actual work .,4
have infused Frida with a visual style unique and inherent to the titular character 's paintings and in the process created a masterful work of art of their own,4
Mediocre,1
richer than the ones,2
more than you can say for plenty of movies that flow through the Hollywood pipeline without a hitch,3
without placing their parents in a coma-like state,3
remarkable amount,3
all the comic possibilities of its situation,3
flickering,2
an overexposed waste,0
Stevens ' vibrant creative instincts are the difference between this and countless other flicks about guys and dolls .,3
the well-wrought story,4
be his way of saying that piffle is all that the airhead movie business deserves from him right now,1
"Bill Morrison 's Decasia is uncompromising , difficult and unbearably beautiful .",4
"her passionate , tumultuous affair with Musset",3
rich and sudden wisdom,4
the eyes of some children who remain curious about each other against all odds,3
Better than the tepid Star Trek,3
extremely unpleasant film,0
have made it an exhilarating,4
"Fessenden continues to do interesting work , and it would be nice to see what he could make with a decent budget",4
serve up the cliches with considerable dash,2
a supremely hopeful cautionary tale,3
would look like something like this,3
rip-off,0
"succeeds with its dark , delicate treatment of these characters and its unerring respect for them",3
a female friendship that is more complex and honest than anything represented in a Hollywood film,4
much like a young Robert DeNiro,3
"does its best to work us over , with second helpings of love , romance , tragedy , false dawns , real dawns , comic relief , two separate crises during marriage ceremonies , and the lush scenery of the Cotswolds",3
complete,3
"Assured , vital and well wrought , the film is , arguably , the most accomplished work to date from Hong Kong 's versatile Stanley Kwan .",4
"to stand tall with Pryor , Carlin and Murphy",3
Q,2
from Bartlett 's Familiar Quotations,2
Fessenden 's narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to joy .,3
is as padded as Allen 's jelly belly,0
One of recent memory,2
make it an above-average thriller,4
ai n't half-bad .,3
hand in hand,3
The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .,4
history and culture,2
"ambitious , moving , and adventurous directorial debut",4
will be well worth your time,4
airhead movie business,1
"A generous , inspiring film that unfolds with grace and humor and gradually becomes a testament to faith .",4
", naturally dramatic",3
"you 'll be wistful for the testosterone-charged wizardry of Jerry Bruckheimer productions , especially because Half Past Dead is like The Rock on a Wal-Mart budget .",0
messing,1
Arthur Schnitzler 's Reigen,3
the novel charm that made Spy Kids a surprising winner with both adults and younger audiences,3
shallow and,1
unexpected fable,3
"an American ,",3
drive-by,2
that 's short on plot but rich in the tiny revelations of real life,3
regard,3
exquisite balance,3
The whole film,2
would have a hard time sitting through this one,0
highly-praised disappointments I,1
rare and riveting,4
With an obvious rapport with her actors and a striking style behind the camera,3
a good-hearted ensemble comedy with a variety of quirky characters and an engaging story,3
Polanski has found the perfect material with which to address his own World War II experience in his signature style .,4
"While the story is better-focused than the incomprehensible Anne Rice novel it 's based upon , Queen Of The Damned is a pointless , meandering celebration of the goth-vampire , tortured woe-is-me lifestyle .",0
the importance of the man and the code merge,3
would disagree,2
ill-conceived and expensive project,0
makes for a terrifying film,3
ambition,3
Disney,3
failing,1
Captures the raw comic energy of one of our most flamboyant female comics .,4
of enthralling drama,4
shiny new bow,3
of wit or charm,3
little morality tale,3
a Japan bustling,3
worked for me,4
to soothe and break your heart with a single stroke,3
few will find the movie,1
"an evil , monstrous lunatic",1
"More vaudeville show than well-constructed narrative , but on those terms it 's inoffensive and actually rather sweet",3
rank as three of the most multilayered and sympathetic female characters of the year .,4
An incredibly irritating comedy about thoroughly vacuous people ... manages to embody the worst excesses of nouvelle vague without any of its sense of fun or energy .,0
actually means to face your fears,3
much worth,3
sitting through it is something akin to an act of cinematic penance,0
"acted , quietly affecting cop drama",3
is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half,4
"Hugely entertaining from start to finish , featuring a fall from grace that still leaves shockwaves , it will gratify anyone who has ever suspected Hollywood of being overrun by corrupt and hedonistic weasels .",4
seem disappointing in its generalities,0
believable and heart-wrenching,3
rate as the most magical and most fun family fare of this or any recent holiday season,4
the screen in their version of The Quiet American,2
"Captures all the longing , anguish and ache , the confusing sexual messages and the wish to be a part of that elusive adult world .",3
self-glorified Martin Lawrence lovefest,2
", often incisive satire and unabashed sweetness",3
"we only know as an evil , monstrous lunatic",1
a gorgeous film -,4
Hussein,2
"Newcastle , the first half of Gangster No. 1 drips with style and , at times , blood",4
were,2
"is a pretty good job ,",3
the characterizations turn more crassly reductive,1
a tear-stained vintage Shirley Temple script,3
"it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights",3
